id_penyelenggara;Penyelenggara;URL Penyelenggara
335;Nihon no Matsuri Telkom University;https://en.cf-vanguard.com/event/
336;HKMF Universitas Sriwijaya;https://www.instagram.com/p/BpCKBNngxsR/
337;Teknologi Informasi Universitas Udayana;
338;ITB;
339;UKM Nippon BunkaBu Telkom University;http://www.facebook.com/nihonnomatsuri
340;Universitas Islam Negeri Sunan Gunung Jati Bandung;http://saeed-uinbandung.blogspot.com/
341;DIKTI dan Kopertis IV;
342;SCC Square (Singapore Cosplay Club);http://www.sgcosplayclub.org/
343;Asia Pasific deaf Sport Confederations;http://www.ciss.org/events/453
344;IEEE Oceanic Engineering Society;https://www.instagram.com/sauvcsg/
345;UNY;
346;Start Up Corner;
347;Asia Plaza Tasik Wedding Festival, Wardah.;
348;inez cosmetics dan AMO;https://bktm.telkomuniversity.ac.id/2017/10/03/student-archivement-2017/
349;Inez Cosmetics;
350;UIN Maulana Malik Ibrahim , Malang;https://wartapalaindonesia.com/ikuti-tursina-national-wall-climbing-competition-2018/
351;Mapala Cartens, UNISNU Jepara;https://unisnu.ac.id/id/event/cartens-wall-climbing-competition-cwcc-ke-xii/
352;Brawijaya;https://www.youtube.com/watch?v=m50-4bBTvdo
353;Institute Teknologi Bandung;https://www.instagram.com/arkavidia/
354;UNTIRTA;
355;Bandung Digital Valley;https://r-iot.id/topic/riot-hackathon-2017/
356;BRI dan Google;http://www.brihackathon.com/
357;Exsport dan Thepanas (pidi baiq);https://exsport.co.id/kelas-film-musim-hujan/
358;Monash University, Malaysia;http://med.monash.edu.my/campaign/telemed/index.html
359;Program Studi Teknik Informatika Fakultas Matematika dan Ilmu;https://bem.cs.ui.ac.id/kompetisi/competition/127
360;HIMA Ilmu Komputer IPB 2018;https://ittoday.web.id/
361;Kementrian Kesehatan Republik Indonesia;https://deskgram.co/festivalgizi?next_id=1630164453646757258_3282968692
362;Universitas Sumatera Utara;
363;MM UGM Jakarta;http://twitter.com/BISCoMMUGMJKT
364;KOPMA UNITEL;http://bit.ly/KSAF2018
365;Himpunan Mahasiswa Jurusan Keperawatan Poltekkes Kemenkes Surakarta;http://www.poltekkes-solo.ac.id/
366;Himpunan Mahasiswa Perpajakan Program Pendidikan Vokasi Universitas Brawijaya ;https://bit.ly/LombaPajakNasional2020 
367;Malaysia Technology Expo;https://www.lombainternasional.info/2019/11/asian-youth-innovation-awards-malaysia.html?m=1
368;Persatuan Perusahaan Periklanan Indonesia (P3I) Jawa Barat;
369;UKM Olahraga Catur Universitas Sultan Ageng Tirtayasa;https://bidikutama.com/berita-mahasiswa/ukm-olahraga-berangkatkan-4-atlet-catur-ke-turnamen-nasional/
370;MARKON PAINT & BODYPACK;
371;IPDN;http://pit.astabrata.ipdn.ac.id
372;AppliCAD Indonesia;https://www.facebook.com/applicadindonesia/posts/1181525005251433:0
373;FKB Telkom University;https://studentstelkomuniversity.com/bem-fkb-sukses-menyelenggarakan-kompetisi-speech-idea-challenge-sigma/
374;Universitas Negeri Semarang;https://competition.adesignaward.com/competitions/web-design.html
375;HMM Politeknik Negeri Jakarta;
376;Universitas Katolik Soegidjapranata Semarang;http://soegijapranatachoral.com
377;Univ.Sebelas Maret;http://lomba.asia/6011-lomba-menulis-cerpen-nasional-lsp-education-fair-2017-univ-sebelas-maret-mahasiswa
378;AKIA;https://official-i3f.com/
379;Politeknik Negeri Bandung;http://kompetisipariwisataindonesia.com/
380;FMIPA Universitas Gajah Mada;https://ugm.ac.id/id/berita/15304-ugm-juara-1-marketing-plan-competition-2017
381;Permata Bank Syariah;https://www.instagram.com/permatabank/
382;UKM Search;https://www.instagram.com/crsearch2020/
383;STKIP Pasundan;http://www.papatembak.com/2018/05/event-panahan-terbaru-update-berkala.html
384;UB;
385;Prodi Teknik Perkapalan Universitas Diponegoro, Semarang;http://www.nyarievent.com/event/detail/728/Universitas+Diponegoro+Proudly+Present+DECONBOTION+MARIFEST+2019.html
386;Unit Kegiatan Olahraga Tenis Universitas Tindonesia;https://www.undip.ac.id/language/id/archives/10304
387;Street Workout Jakarta, ALSEACE 2017;https://www.instagram.com/p/BQXu3t-B6i8/?taken-by=streetworkoutjakarta
388;STT PLN Jakarta;http://portalsttpln.r-tecs.org/lkti.php
389;Fakultas Sastra dan Humaniora Universitas Padjajaran;
390;Interior Architecture of Ciputra University;https://www.uc.ac.id/dies-natalis-interior-architecture-universitas-ciputra-explosion-10-0/
391;Universitas Jenderal Soedirman (UNSOED);
392;Universitas Budi Luhur;https://bem.cs.ui.ac.id/kompetisi/competition/79
393;Universitas Ahmad Dahlan Yogyakarta;https://www.instagram.com/p/BwOZ0EyjIAK/?igshid=ahzgla9325kc
394;Universitas Padjajaran & Telkomsel;http://www.unpad.ac.id/agenda/unpad-hackathon-weekend/
395;IndUstry Applications Society (IAS IEEE);
396;STKIP Pasundan Cimahi;https://stkippasundancimahi.ac.id
397;UIN Sunan Gunung Djati;
398;DPPKB Kota Bandung;http://bandungbaratkab.go.id/artikel/pemilihan-duta-generasi-berencana-genre-tingkat-kabupaten-bandung-barat-tahun-2017
399;Himpunan Mahasiswa Vokasi Akuntansi (HMVA) Universitas Indonesia;
400;Persatuan Perusahaan Periklanan Indonesia (P3I) Jawa Tengah bekerja sama dengan Suara Merdeka;
401;UPI (Universitas Pendidikan Indonesia);
402;Tarumanagara English Club, Universitas Tarumanagara;http://tecneon.wixsite.com/home
403;Polres Brebes;https://m.facebook.com/137700666820664/photos/a.170501763540554/348823809041681/?type=3&__tn__=EH-R
404;Teknik Fisika Universitas Telkom;https://technogine.id/
405;POLTEK  JAKARTA;https://eventjakarta.com/event/tgp-open-day-2017-competition-meet-us-in-action/
406;UMN  Jakarta;https://www.umn.ac.id/tag/compress-2017/
407;ITB  Bandung;
408;Kota Baru Parahyangan;
409;Universitas Negeri Surabaya;
410;UPI Tasikmalaya;http://behimapropgsd.rema.upi.edu/category/pgsd-fair-2018/
411;Himpunan Mahasiswa Teknik Industru Universitas Diponegoro;http://indiscoundip.com/
412;University Space Engineering Consortium (UNISEC) Global;http://www.spacemic.net/index.html
413;BALITBANG JAWA TENGAH;https://krenova.bappeda.jatengprov.go.id/
414;KABUPATEN SRAGEN;http://kominfo.sragenkab.go.id/berita-1670-lomba-krenova-kabupaten-sragen-2019.html
415;Laboratorium Sistem Manufaktur, Fakultas Teknik, Universitas Islam Indonesia;
416;Hima MBTI  FEB Telkom University ;https://www.instagram.com/fixexhibition2020/?hl=en
417;Sekolah Tinggi Kesejahteraan Bandung;http://kabarkampus.com/2018/11/karneval-der-kulturen-stks-bandung-2018/
418;KSR PMI UNIT UIN WALISONGO SEMARANG;http://ksruinws.blogspot.com
419;Forum Kajian Akuntansi Universitas Negeri Semarang;https://feb.unair.ac.id/index.php/news-feb-unair/pengumuman/1129-unnes-accounting-competition-nection-2019.html
420;BEM Fakultas Ekonomi Bisnis UNSUD;
421;Universitas Dian Nuswantoro , Semarang;https://dinus.ac.id/getnews/2166/DINACOM-2018-HADIRKAN-APLIKASI-ANAK-NEGERI
422;Himpunan Mahasiswa Teknik Lingkungan UPN Veteran Yogyakarta;https://www.instagram.com/p/CHMm6jBBIsy/
423;Fakultas Ekonomi Manajemen (FEM) Institut Pertanian Bogor;http://www.comicmarketingipb.wodpress.com
424;Code4Nation;
425;IDSIRTII;http://julismail.staff.telkomuniversity.ac.id/pendaftaran-cyber-jawara-2017/
426;Universitas Sriwijaya;https://www.instagram.com/esforia_unsri
427;Kompas TV;https://www.facebook.com/events/115144239169411/
428;Unit Tari Bali Natya Wiraga Adigama Universitas Gadjah Mada;https://web.facebook.com/pg/UnitTariBaliUgm/posts/
429;Politeknik Harapan Bersama Tegal;https://www.codepolitan.com/invofest-2018-informatics-vocational-festival-5b76862b89f7a
430;PT. Semen Indonesia;
431;Komunitas Perempuan Inspiratif indonesia;http://www.fajarpendidikan.co.id/kemendikbud-gelar-lomba-jurnalistik-ikutan-yuk/
432;FEB Universitas Brawijaya;http://katullsme.feb.ub.ac.id/katulistiwa-11/
433;Jambore Nasional Revolusi Mentasi dan Kementerian Dalam Negeri;http://www.jamborenas-revmen.org/lomba-8-lomba-karya-tulis-ilmiah.html
434;Institut Teknologi Kalimantan;https://telkomuniversity.ac.id/telkom-university-students-became-the-champion-at-think-tank-national-business-plan-competition/?lang=en
435;Korps Protokoler Mahasiswa Universitas Padjajaran;
436;Himpunan Mahasiswa Teknik Industri Universitas Diponegoro;http://indiscoundip.com/
437;UCMU (Unit Catur Mahasiswa Unpad) ??? Universitas Padjajaran;
438;Universitas Pakuan;http://event-indonesia.com/event/economic-fair/
439;Universitas Gadjah Mada;https://ft.ugm.ac.id/event/the-11th-conference-on-information-technology-and-electrical-engineering-citee-2019/
440;HIMABAJA UPI;http://japanzukishow.weebly.com/
441;Universitas Islam Negeri Sunan Gunung Jati;http://lpbuin.blogspot.co.id/2017/09/art-and-language-festival-
442;KOMINFO;
443;Komunitas Perempuan Inspiratif Indonesia;http://www.fajarpendidikan.co.id/kemendikbud-gelar-lomba-jurnalistik-ikutan-yuk/
444;SAEED UIN Bandung;
445;Comfest Universitas Al Azhar Indonesia;
446;RISTEK DIKTI;Http://ristekdikti.go.id
447;Universitas Malikussaleh;
448;ALSA local chapter Universitas Padjajaran;https://www.alsalcunpad.org/e-challenge
449;London School of Public Relation;http://event-indonesia.com/event/national-youth-championship-2016-london-school-public-relation/
450;Institut Pemerintahan Dalam Negri (IPDN);https://docs.google.com/forms/d/e/1FAIpQLSc4cw2qFE2FfM3_uQAIlm651He_6QVjbbQP8q-XgdG2GoQUmQ/viewform?c=0&w=1
451;Himpunan Mahasiswa Sastra Inggris Universitas Negeri Medan;https://nec6.tumblr.com/
452;Pandawa;https://fokusjabar.co.id/2019/10/07/new-pandawa-ii-taekwondo-championship-2019-bantu-pembinaan-taekwondi-di-jabar/
453;HIMA IKOM, Universitas Telkom.;http://www.i-bravery.com/2017/06/competition.html
454;Universitas Telkom;
455;(UniMAP), ENVEX Young Researcher,   (MyRIS), (INNOPA);https://envex.unimap.edu.my/
456;PT. Shafira Coorporation;https://www.republika.co.id/berita/gaya-hidup/trend/pnvt39352/shafira-gelar-shafco-modest-project
457;PORDA XIII JABAR;https://radarsukabumi.com/berita-utama/porda-jabar-xiii-berakhir-meriah/
458;Fakultas Rekayasa Industri (FRI) dan Fakultas Industri Kreatif (FIK) Telkom University.;https://www.instagram.com/provetion_2019/
459;Student Enterpreneur Center, Fakultas Ilmu Administrasi. UB Malang.;http://sec.fia.ub.ac.id/
460;The Panasdalam dan Export;https://exsport.co.id/kelas-film-musim-hujan/
461;Sari teknologi;
462;kementrian pertahanan singapore dan DSO nationa laboratory;https://safmc.com.sg/
463;Fakultas Seni dan Desain Universitas Kristen Petra;http://bharatikafest.petra.ac.id/index.php
464;Universitas Kristen Petra;http://bharatikafest.petra.ac.id/2020/
465;PON XIX;https://www.facebook.com/kawahdradjat/posts/berikut-ini-daftar-urut-pertandingan-final-kejuaraan-tarung-derajat-pon-xix2016-/986052041521638/
466;Fakultas Peternakan Universitas Andalas;https://www.instagram.com/feco2020/
467;Universitas Padjajaran;https://www.instagram.com/fooderation2019/
468;STP Bandung;http://go.stp-bandung.ac.id/index.php/id/berita/daftar-berita/1156-pcd-manajemen-divisi-kamar-redology-3-0
469;Perbanas Institute Jakarta;
470;Pemerintah Provinsi Bali;
471;KMH Institut Teknologi Bandung;https://www.google.com/search?q=Busana+Adat+ke+Pura&oq=Busana+Adat+ke+Pura&aqs=chrome..69i57j0l7.8359j0j4&sourceid=chrome&ie=UTF-8
472;Universitas Pancasila;https://www.facebook.com/763837643967505/posts/communication-fair-2019-fakultas-ilmu-komunikasi-universitas-pancasila-jakartaha/954136171604317/
473;PKN STAN;https://www.instagram.com/muslimahdaystan/?hl=id
474;Universitas Negeri Padang (FPP);http://bit.ly/internationalessaycompetitions
475;IPB Bogor;
476;Asosiasi Duta Wisata Indonesia & Kementrian Pariwisata;
477;Koperasi Mahasiswa Fakultas Ilmu Budaya Universitas Indonesia;
478;Himpunan Mahasiswa Bisnis Internasional FEB UNPAD;
479;Himpunan Mahasiswa Program Study Management (HMPSM) Universitas Parahyangan;http://unpar.ac.id/events/creation-2016/
480;Fakultas Ilmu Terapan Telkom University;
481;17 Global Goals Model united Nation, International Global Network;https://internationalglobalnetwork.com/
482;GGMUN;http://globalgoalsmun.org/
483;Pusat Inkubator Bisnis dan Kewirausahaan IKOPIN;http://lombaikopin.com/
484;Perhimpunan Pelajar Indonesia United Kingdom;http://isic2018.ppiuk.org/
485;LAPAN ( Lembaga Penerbangan dan Antariksa Nasional);http://www.komurindo-kombat.lapan.go.id/
486;Reacheese Factory;
487;Fisip Undip;https://instagram.com/dspc5.0
488;IYSA;https://isif.or.id
489;Sastra Inggris UNPAD;
490;ICAO Telkom University;https://icao.telkomuniversity.ac.id/international-creativity-competition-2020/
